Ngày cào,Mã sản phẩm,Mã shop,Mã danh mục,Tên sản phẩm,Giá bán hiển thị trên feed,Giảm giá hiển thị trên feed,Đã bán,Nhãn,Ưu đãi,Chỉ báo khuyến mãi,Đánh giá,Địa chỉ,Danh mục sản phẩm,Link
23/03/2025,27268477323,1397276155,100630,[DIỆN MẠO MỚI] Sữa Rửa Mặt Simple lành tính và hiệu quả cho mọi loại da 150ml,₫107.000,-19%,"Đã bán 43,7k",Xử lý bởi Shopee,Không có ưu đãi,Mua Kèm Deal Sốc,4.9,TP. Hồ Chí Minh,sữa rửa mặt,https://tinyurl.com/237vvgw7
23/03/2025,1335573348,37251700,100630,Gel rửa mặt tạo bọt dành cho da dầu mụn La Roche-Posay Effaclar Foaming Gel 400ml,₫571.000,-13%,"Đã bán 172,1k",Xử lý bởi Shopee,8% Giảm,Mua Kèm Deal Sốc,4.8,TP. Hồ Chí Minh,sữa rửa mặt,https://tinyurl.com/25j4dlhg
23/03/2025,16401457016,134371556,100630,Sữa Rửa Mặt Tạo Bọt Tơ Tằm Dưỡng Ẩm Làm Sạch Sâu Cỏ Mềm 150ml,₫95.000,-37%,"Đã bán 110,3k",Mall,Không có ưu đãi,Rẻ Vô Địch,4.9,Không có thông tin,sữa rửa mặt,https://tinyurl.com/24l8rd3j
23/03/2025,29480027224,1492353871,100630,"Gel Rửa mặt La Roche Posay Effaclar Foarming 400ml , Sữa Rửa Mặt La Roche Posay Cho Da Dầu Nhạy Cảm",₫85.000,-74%,"Đã bán 14,6k",Mall,Giảm ₫10k,Không có,5.0,TP. Hồ Chí Minh,sữa rửa mặt,https://tinyurl.com/2a4kx8vm
23/03/2025,25092138031,12325354,100630,Sữa Rửa Mặt SENANA 60g Sạch Sâu Trắng Da Làm Mịn NO.SNN03614,₫6.999,Không giảm giá,Đã bán 392,Yêu thích,Không có ưu đãi,Không có,4.5,Không có thông tin,sữa rửa mặt,https://tinyurl.com/2aethmpa
23/03/2025,29773993383,1429695422,100630,"Sữa Rửa Mặt Nam Trắng Da Làm Sạch Sâu Kiểm Soát Dầu Hiệu Quả, Sửa Rửa Mặt Trắng Da Cho Da Sáng Bóng Săn Chắc",₫58.000,-41%,"Đã bán 1,3k",Không có nhãn,Giảm ₫35k,Không có,5.0,Hà Nội,sữa rửa mặt,https://tinyurl.com/2bzp5s8x
23/03/2025,25971763502,1123536540,100630,"Sữa Rửa Mặt Cerave Sạch Sâu Cho Da Thường Đến Da Dầu, Cho Da Thường Đến Da Khô 236ml",₫195.000,-38%,"Đã bán 200,1k",Không có nhãn,Không có ưu đãi,Không có,4.6,Hà Nội,sữa rửa mặt,https://tinyurl.com/2c2uyt8d
23/03/2025,24536092729,562119044,100630,Sữa Rửa Mặt Cerave Dịu Nhẹ Dành Cho Mọi Loại Da 236ml,₫65.000,-50%,"Đã bán 20,5k",Không có nhãn,Giảm ₫3k,Rẻ Vô Địch,4.8,Hải Dương,sữa rửa mặt,https://tinyurl.com/2yhqn23n
23/03/2025,24370335668,196261835,100630,Sữa rửa mặt LAIKOU Sakura 50g + Sakura Serum 17ml + Kem dưỡng da 25g,₫67.100,-42%,Đã bán 137k,Xử lý bởi Shopee,Không có ưu đãi,Rẻ Vô Địch,4.7,Nước ngoài,sữa rửa mặt,https://tinyurl.com/2ysoepy2
23/03/2025,15592302155,234983602,100630,Sữa rửa mặt Cleansing Gel,₫425.000,Không giảm giá,Đã bán 906,Không có nhãn,Không có ưu đãi,Rẻ Vô Địch,5.0,TP. Hồ Chí Minh,sữa rửa mặt,https://tinyurl.com/2y3xkngw
